,name,description,url,screen_name
206,Panjiva,"Global Search for Global Trade Professionals. Find, evaluate, make contact. Faster.",http://t.co/v9qrRwvyPl,panjiva
207,Cityhop Carsharing,"Cityhop, NZ’s first carshare club offering cars by the hour from convenient parks in Ak and Wgtn. Ecofriendly & affordable, for you, for business, for life.",http://t.co/iCz4rWE0ko,Cityhoppa
208,UL Environment,"UL Environment helps the world make, market, find, and trust greener, healthier, more sustainable products and companies.",http://t.co/ku6YIMWZLE,ulenvironment
209,Pierre Duchesne,"Alternative Vision Of Business - Smart Building, Power & Energy Management solutions",http://t.co/oYSfndKQY8,AVOB
210,REGEN Energy,"Developers of Swarm Energy Management, the world's first wireless, swarm logic-based load management solution.",http://t.co/Kany4GCZCr,regenenergy
211,TraceTracker,"Services for traceability, food safety, branding for companies in the supply chain, consumer intelligence",http://t.co/xfFpOxhKfe,tracetracker
212,ThinkEco,We're ThinkEco. We offer intelligent energy efficiency solutions.,http://t.co/fNcsZhoqNZ,ThinkEco
213,Pulse Energy,Follow @EnerNOC to stay in touch with us and learn more about our Energy Intelligence Software solutions.,http://t.co/BdLJSKPupP,pulseenergy
214,Zimride,Zimride by Enterprise. Life is better when you share the ride.,http://t.co/g1CcVXbhad,zimride
215,Recyclebank,"We inspire & reward smarter, everyday choices for a more sustainable future. We bring together people, businesses & communities to achieve real world impact.",http://t.co/QC68aIbVLH,Recyclebank
216,landshare,Connecting people who want to grow their own food to space where they can grow it. We've got an iPhone App too: http://t.co/RZ4DRssR,http://t.co/vdNN4k3xYp,landshare
217,Apogee Interactive,"Founded in Atlanta in 1993, Apogee's mission is to provide engaging applications to utilities that facilitate energy education and action among consumers.",http://t.co/D2tMfJqNZv,apoweb
218,"Intelen, Inc",Building data Analytics to visualize & simulate efficiency solutions & consumer engagement for behavioral change,http://t.co/Ty3iYc0NNd,intelen
219,Sunrun,"Saving money with Sunrun solar isn't just smart. It's brilliant. Sharing tidbits about solar, our customers, and living a smarter life.",http://t.co/aJ8uVW2P6A,Sunrun
220,AutoShare,"Toronto's favourite car sharing company, since 1998. AutoShare is now serviced by Enterprise CarShare. Learn more at http://t.co/RY0Wvh3jM0.",http://t.co/ndE8wcyEGH,AutoShare
221,Chefs Collaborative,chefs working together to build community and transform our food system.,http://t.co/SwJR1dKVdG,chefscollab
222,AMEE,The Only Business Directory with Free Environmental and Financial Data on Every Company in the UK. Understand Supply Chain Risk.,https://t.co/abSpOr62XI,ameeHQ
223,Uber,"Evolving the way the world moves by seamlessly connecting riders to drivers through our app. Question, concern or praise? Tweet at @Uber_Support",http://t.co/11eIV5LX3Z,Uber
224,Ethical Markets,"Supporting the emergence of a sustainable, green, ethical and just economy worldwide",http://t.co/Hh1T2Pto6x,ethicalmarkets
225,Stormpulse,"Free, professional weather-tracking from the makers of @GetCygnus.",http://t.co/ZnzaxEdSAo,stormpulse
226,e-Agriculture,A global initiative to enhance sustainable agricultural development & food security by improving the use of information and communication technologies. Join us!,http://t.co/3lkYVEwF3l,e_agriculture
227,EnerNOC,"Energy intelligence software provider. Demand response, energy efficiency, utility bill and supply mgmt. For EnergySMART Conference updates: @EnergySMARTConf",http://t.co/yPa3a2OFpx,EnerNOC
228,Koubachi,Koubachi is a revolutionary system that brings your plants to the internet. Your plants will live longer & grow faster while you have more fun taking care.,http://t.co/ShPOB2hkfS,koubachi
229,SolarCity,"Clean, more affordable energy",http://t.co/SiCSWbASOE,solarcity
230,EnergyHub,"Delivering the next generation of energy management solutions for utilities, service providers, and individuals.",http://t.co/REr1EuUvdd,EnergyHub
231,Retrofit Exchange,The Home Energy Retrofit Industry Marketplace Exchange where Home Performance Contractors are linked together to do business.,http://t.co/Zwvtp9euwF,retrofitexchang
232,Team Carma,"Carma Carpooling allows you to set up carpools and share the cost of driving, all from your smartphone. Download for iPhone or Android and get there together!",http://t.co/Nx9YwQvQ7o,TeamCarma
233,Airbnb,"Airbnb is the world's largest community-driven hospitality company. With unique listings in 190 countries, travelers can belong anywhere.",http://t.co/lAeftY6Y79,Airbnb
234,GoodGuide,"Find safe, healthy, green and socially responsible products based on scientific ratings.",http://t.co/3Lqafgd6BY,GoodGuide
235,carticipate,Building the social transportation network (TM).,http://t.co/BmEn4ALq8m,carticipate
236,"Bentley Systems, Inc","Software for Sustaining Infrastructure throughout the world._x000D_
Questions? Visit http://t.co/IM92MhbTCm_x000D_
http://t.co/N3UdSt519Z_x000D_
http://t.co/7Wvamkn06F",http://t.co/2e1wbczefH,BentleySystems
237,gazelle.com,"Gazelle is an easy, fast way to sell or recycle your gadgets. We pay for shipping and you get paid for being environmentally responsible.",http://t.co/MdXYHdmpgd,gazelle
238,rateitgreen,"Rate It Green is a green building directory, network and peer review resource - list your company, ask clients for reviews/testimonials, join the conversation!",http://t.co/MNnb18sFNp,rateitgreen
239,Xively,"By @LogMeIn - Simplify & accelerate the creation, deployment, and management of #ConnectedProducts and solutions on the #IoE #IoT",https://t.co/QMGW4wYLLs,XivelyIOT
240,Cityzencar,"L'utopie automobile 2.0, c'est le partage. CityzenCar a rejoint @BuzzcarFR en juin 2013 ♥ #carsharing #collcons",http://t.co/UcMEjPMkp7,CityzenCar
